[2023-07-25 02:57:45.901 PM] : 	ToServer/0ACFD54A - LOG,9,1690173389,BAR,572.0,
[2023-07-25 02:57:45.939 PM] : 	ToServer/AAAAAA - LOG,4,1690261065,test,8313,
[2023-07-25 02:57:45.939 PM] : 	ToServer/BBBBBB - LOG,1,1690261065,test,1178,
[2023-07-25 02:57:45.940 PM] : 	ToServer/CCCCC - LOG,8,1690261065,test,9369,
[2023-07-25 02:57:45.940 PM] : 	ToServer/DDDDD - LOG,7,1690261065,test,9660,
[2023-07-25 02:57:45.940 PM] : 	ToServer/EEEEE - LOG,1,1690261065,test,922,
[2023-07-25 02:57:45.985 PM] : 	ToServer/AAAAAA - LOG,3,1690261065,test,5434,
[2023-07-25 02:57:45.986 PM] : 	ToServer/BBBBBB - LOG,1,1690261065,test,1493,
[2023-07-25 02:57:45.986 PM] : 	ToServer/CCCCC - LOG,2,1690261065,test,6362,
[2023-07-25 02:57:45.986 PM] : 	ToServer/DDDDD - LOG,1,1690261065,test,4014,
[2023-07-25 02:57:45.986 PM] : 	ToServer/EEEEE - LOG,4,1690261065,test,8506,
[2023-07-25 02:57:46.029 PM] : 	ToServer/AAAAAA - LOG,5,1690261065,test,4326,
[2023-07-25 02:57:46.029 PM] : 	ToServer/BBBBBB - LOG,5,1690261065,test,9092,
[2023-07-25 02:57:46.029 PM] : 	ToServer/CCCCC - LOG,0,1690261065,test,7553,
[2023-07-25 02:57:46.029 PM] : 	ToServer/DDDDD - LOG,5,1690261065,test,9874,
[2023-07-25 02:57:46.029 PM] : 	ToServer/EEEEE - LOG,5,1690261065,test,2787,
[2023-07-25 02:57:46.081 PM] : 	ToServer/AAAAAA - LOG,4,1690261065,test,9839,
[2023-07-25 02:57:46.081 PM] : 	ToServer/BBBBBB - LOG,6,1690261065,test,4049,
[2023-07-25 02:57:46.081 PM] : 	ToServer/CCCCC - LOG,9,1690261065,test,9097,
[2023-07-25 02:57:46.081 PM] : 	ToServer/DDDDD - LOG,3,1690261065,test,778,
